Title,Author,Run Time
1. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
2. American Prometheus,"By: Kai Bird, Martin J. Sherwin",Length: 26 hrs and 30 mins
3. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
5. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
6. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
7. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
8. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
9. The Forgetting,By: Hannah Beckerman,Length: 10 hrs and 48 mins
10. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
11. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
12. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
"13. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
14. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
15. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
16. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
17. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
18. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
19. Light Bringer,By: Pierce Brown,Length: 30 hrs and 8 mins
20. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
21. The Five-Star Weekend,By: Elin Hilderbrand,Length: 12 hrs and 45 mins
22. Hábitos atómicos,By: James Clear,Length: 9 hrs and 1 min
23. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
"24. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
25. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
26. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
"27. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
28. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
29. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
30. Lovely Girls,By: Margot Hunt,Length: 8 hrs and 35 mins
31. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
32. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
33. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
34. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 47 mins
35. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
36. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
"37. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
38. Dead Fall,By: Brad Thor,Length: 11 hrs and 28 mins
39. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
40. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
41. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
"42. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
